Year,State/UT,Sector,CO₂ Emissions (Million Tonnes),CH₄ Emissions (Million Tonnes CO₂e),N₂O Emissions (Million Tonnes CO₂e),Energy Consumption (TWh),Electricity Generation (TWh),Fossil Fuel Consumption (MTOE),Vehicle Count (Million Units),Industrial Output (GDP Contribution in ₹ Cr),Agricultural Land Usage (Million Hectares),Deforestation Rate (sq. km per year),Waste Generation (Million Tonnes),Renewable Energy Share (%)
2003,Gujarat,Industry,286.42,3.26,15.7,83.47,194.33,148.95,37.99,88214.29,37.6,16.15,46.24,79.7
2022,Nagaland,Transport,192.96,35.21,17.35,219.74,78.09,178.88,39.02,22111.42,44.1,43.74,41.81,51.72
2009,Sikkim,Energy,389.77,18.6,5.18,46.52,101.92,133.48,43.63,64626.82,19.08,8.98,25.23,26.33
2019,Maharashtra,Waste,443.39,18.53,9.93,26.76,331.56,68.0,5.26,14693.57,17.57,193.12,82.77,76.55
2014,Haryana,Industry,39.26,32.31,10.55,489.17,95.27,117.55,28.1,70947.43,10.64,165.19,66.56,33.33
2017,Telangana,Industry,321.35,40.61,14.02,486.05,279.67,146.82,33.63,15560.53,18.97,53.7,72.99,16.49
2019,Punjab,Industry,165.65,14.1,6.67,179.13,103.94,60.15,45.77,39060.83,12.71,70.41,69.93,25.6
2012,Sikkim,Energy,295.8,35.42,5.94,411.16,88.9,213.66,41.69,21400.2,17.5,141.91,10.39,40.25
2007,Maharashtra,Transport,247.11,31.98,14.14,115.6,104.21,103.45,19.52,28389.27,27.49,91.28,75.09,47.07
2008,Chhattisgarh,Industry,173.5,26.11,8.05,211.56,189.98,179.09,15.67,71278.55,28.83,120.01,84.72,12.94
2015,Himachal Pradesh,Transport,56.46,30.32,0.18,364.59,62.78,236.08,14.88,56603.32,37.34,5.28,46.78,48.53
2018,Haryana,Agriculture,284.13,1.39,18.76,277.52,47.11,104.46,12.59,10979.38,49.17,184.94,82.67,37.38
2015,Arunachal Pradesh,Energy,65.27,0.7,3.08,411.45,303.91,115.88,15.53,83612.2,5.39,51.7,39.86,58.52
2006,West Bengal,Transport,86.5,27.75,3.06,490.12,14.2,46.72,36.73,60749.0,12.54,131.31,74.14,4.27
2013,Meghalaya,Transport,491.27,26.44,16.39,9.46,157.27,94.65,5.86,28951.81,21.08,190.0,68.01,78.83
2013,Madhya Pradesh,Industry,165.19,4.03,6.78,462.64,161.43,132.75,36.76,40505.01,48.41,132.12,88.87,11.38
2024,Gujarat,Industry,296.37,24.86,6.63,209.66,357.75,58.17,9.8,88319.13,14.78,150.81,52.45,66.47
2003,Meghalaya,Energy,143.39,38.0,12.49,206.93,310.92,7.51,31.24,33235.44,43.98,193.22,17.92,61.34
2014,Gujarat,Transport,434.1,27.29,1.27,5.33,206.72,65.19,29.84,28665.94,20.89,134.82,28.68,66.89
2002,Uttarakhand,Waste,148.84,26.12,4.82,418.0,194.53,170.96,29.67,21845.93,47.98,101.23,46.87,20.22
2004,Maharashtra,Industry,189.77,36.04,1.16,380.7,228.41,214.71,15.6,79008.32,2.78,106.23,46.56,65.92
2000,Maharashtra,Industry,308.11,9.01,5.9,447.54,146.34,33.63,7.58,26273.39,12.86,8.34,65.2,18.66
2002,Kerala,Agriculture,436.29,23.15,17.41,87.84,281.81,168.26,39.62,47944.93,2.91,16.57,2.56,36.14
2014,Andhra Pradesh,Energy,409.94,7.83,18.2,111.48,276.0,85.66,12.17,1989.9,37.83,112.05,48.38,70.71
2023,Andhra Pradesh,Transport,139.29,26.43,6.26,155.25,231.99,75.97,4.07,95950.83,32.94,107.33,57.91,75.9
2007,Kerala,Transport,416.48,29.8,3.83,267.45,27.79,108.74,8.01,83486.8,12.37,101.53,64.12,34.39
2003,Punjab,Transport,353.59,6.52,2.79,175.83,55.1,217.8,5.8,65622.53,3.7,27.91,73.14,46.92
2001,Rajasthan,Industry,495.02,4.24,7.95,153.36,20.51,145.57,35.77,31388.89,39.82,185.75,68.42,29.28
2023,Manipur,Energy,468.37,8.75,16.55,95.43,288.81,160.53,37.29,19571.47,38.24,181.55,75.02,25.43
2023,Bihar,Transport,271.24,29.52,17.07,83.8,193.65,29.51,16.96,44365.45,46.05,59.62,85.4,45.29
2009,Gujarat,Waste,377.47,9.89,1.01,239.11,382.22,31.05,38.26,23141.34,9.19,80.29,8.59,5.65
2003,Meghalaya,Agriculture,289.39,14.12,4.26,225.72,381.17,126.08,41.94,93762.94,29.13,77.01,44.21,49.16
2002,Assam,Agriculture,301.55,35.28,4.14,393.64,320.28,179.86,23.91,73619.26,45.99,44.85,19.39,62.55
2001,Gujarat,Transport,59.74,12.79,16.59,412.79,180.0,49.69,41.37,69265.26,11.07,66.13,0.81,14.16
2024,Delhi,Industry,11.1,20.18,9.18,351.8,129.96,137.4,25.25,68194.3,30.76,198.78,35.93,14.42
2016,Telangana,Agriculture,33.61,46.48,7.43,416.45,84.38,229.19,40.48,76752.13,30.75,114.06,99.67,36.89
2022,Sikkim,Agriculture,483.65,41.34,19.14,58.88,96.84,128.67,22.11,5323.73,3.05,179.76,26.74,44.93
2020,Goa,Agriculture,71.87,13.15,18.51,231.59,396.18,120.7,3.04,26572.98,39.33,146.45,46.51,29.86
2023,Meghalaya,Agriculture,31.75,30.08,8.86,146.79,214.49,146.74,11.09,57986.07,39.69,175.61,90.2,22.15
2019,Telangana,Transport,161.73,33.46,2.65,129.64,9.84,173.42,15.25,22621.79,10.39,73.15,18.08,48.03
2022,Haryana,Energy,298.21,45.06,3.5,357.78,22.5,76.22,22.08,60389.4,3.08,128.4,15.04,14.55
2012,Tamil Nadu,Energy,474.75,27.6,2.33,416.46,186.21,84.32,23.78,95899.48,36.28,74.36,33.48,71.93
2004,Sikkim,Industry,352.94,28.28,13.64,61.79,180.18,39.98,48.78,33887.43,7.61,163.49,64.95,56.96
2020,Goa,Waste,145.41,44.48,11.14,66.43,165.2,237.26,23.82,75980.33,34.78,153.2,60.35,21.28
2008,Jharkhand,Energy,470.14,3.19,11.18,321.5,330.32,12.83,18.64,43915.04,8.36,156.16,28.98,58.82
2024,Meghalaya,Waste,27.66,31.59,2.06,76.43,282.75,115.73,18.1,71961.78,43.16,39.23,90.48,45.67
2024,Karnataka,Energy,489.74,21.12,15.89,385.35,47.43,171.21,44.31,7273.11,30.96,171.62,9.41,76.84
2021,Madhya Pradesh,Energy,38.73,45.53,10.76,415.2,148.26,177.98,19.31,37100.3,29.26,199.58,87.77,13.15
2005,Delhi,Industry,379.39,48.05,1.91,263.81,240.69,156.95,39.28,72838.48,27.18,166.06,17.41,56.7
2004,Goa,Agriculture,32.2,8.93,14.97,454.66,156.08,85.8,12.54,84752.48,3.02,96.6,52.73,36.84
2024,Telangana,Industry,466.47,14.43,19.63,15.07,87.28,20.23,21.5,42257.48,42.1,61.09,61.11,12.14
2009,Andhra Pradesh,Energy,63.25,14.04,8.88,117.07,253.08,233.1,28.74,55564.1,23.21,25.98,93.56,14.54
2007,Rajasthan,Agriculture,34.73,5.48,2.4,387.6,242.89,48.42,28.27,96631.78,19.13,82.27,28.88,20.6
2006,Odisha,Agriculture,445.74,24.41,2.12,478.86,389.97,227.27,29.02,46041.06,31.92,53.98,91.73,48.18
2006,Kerala,Agriculture,56.94,25.9,0.62,480.49,226.62,57.14,37.09,24341.53,25.49,86.41,96.8,49.37
2005,Telangana,Waste,400.99,28.86,15.43,5.2,350.35,18.56,25.55,3044.0,15.09,10.59,95.95,38.79
2020,Uttarakhand,Energy,376.05,33.32,13.91,317.77,379.93,21.81,9.25,92265.74,8.26,58.7,51.45,44.91
2019,Goa,Transport,303.45,3.61,11.73,18.53,176.74,90.24,29.1,6380.42,5.97,192.23,16.02,77.7
2002,Puducherry,Industry,195.2,31.31,15.34,351.66,25.89,38.84,14.97,24625.91,12.59,23.89,52.67,48.89
2018,Nagaland,Waste,458.63,45.73,19.99,385.18,61.68,121.13,15.1,85801.13,43.64,14.76,81.38,28.78
2021,Madhya Pradesh,Industry,436.83,23.02,8.1,429.54,204.07,114.0,6.52,93992.97,6.38,137.86,36.18,66.99
2014,Gujarat,Transport,218.86,5.78,14.15,267.07,357.72,209.22,45.51,66887.25,40.95,165.65,77.1,21.52
2003,Tamil Nadu,Agriculture,123.55,4.75,7.61,425.81,263.38,174.24,3.34,26611.02,43.54,19.35,58.27,77.27
2011,Madhya Pradesh,Transport,143.56,14.45,7.11,462.3,84.59,174.9,1.98,27549.39,41.43,191.4,53.81,35.31
2005,Rajasthan,Industry,117.96,37.75,17.03,268.95,281.91,148.09,36.27,51037.43,43.32,7.36,39.1,29.69
2018,Haryana,Transport,275.21,13.42,11.54,264.44,358.22,12.81,35.27,93478.63,11.54,175.17,68.41,36.08
2003,Puducherry,Energy,435.58,40.81,2.5,255.4,16.94,187.07,17.59,94734.67,49.78,166.18,37.06,63.23
2014,Rajasthan,Transport,389.07,41.07,8.13,254.79,100.91,90.28,37.05,43628.57,27.6,133.68,45.2,3.11
2008,Mizoram,Energy,399.8,23.13,15.95,388.39,65.51,209.21,24.44,32794.2,40.72,126.74,11.44,75.86
2004,Himachal Pradesh,Transport,229.66,15.39,18.81,38.33,314.72,62.41,36.44,39316.72,24.78,156.71,76.59,28.32
2012,Punjab,Energy,168.0,30.08,12.33,228.98,357.13,167.86,27.33,24125.79,10.36,15.59,60.73,66.57
2022,Madhya Pradesh,Energy,381.1,40.62,7.94,264.37,224.05,151.33,36.65,18033.71,42.46,75.42,72.85,58.76
2017,Arunachal Pradesh,Transport,398.72,3.7,5.11,111.16,340.04,28.9,38.66,68705.17,25.04,18.42,95.99,3.03
2004,Bihar,Waste,350.72,47.69,8.5,272.93,264.49,34.94,14.25,26724.63,48.64,30.87,25.61,58.64
2024,Puducherry,Agriculture,25.73,32.47,11.36,230.55,264.4,249.97,19.32,83182.32,40.75,165.77,71.68,33.2
2015,Delhi,Agriculture,298.95,20.21,0.19,370.1,233.98,84.54,25.27,25482.56,37.77,140.37,33.03,64.56
2018,Tripura,Agriculture,180.05,25.55,5.45,179.88,24.76,102.46,9.61,55464.32,36.24,73.4,20.29,35.16
2013,Arunachal Pradesh,Energy,106.13,19.59,13.46,475.14,375.11,214.01,48.52,71307.63,30.85,81.23,53.84,49.73
2024,Bihar,Agriculture,350.25,20.92,13.5,209.8,145.53,158.13,46.21,65613.82,44.96,135.54,96.23,39.75
2015,Nagaland,Energy,141.58,29.98,13.09,317.29,322.02,170.11,38.87,12223.38,31.43,127.76,95.43,60.96
2014,Chhattisgarh,Waste,457.29,3.48,19.0,114.73,324.94,159.48,9.99,28210.92,49.8,97.48,90.83,45.93
2021,Odisha,Transport,156.06,9.18,11.41,345.89,386.48,81.53,22.71,2636.95,26.6,149.81,49.58,4.48
2003,Jharkhand,Transport,282.04,11.74,5.47,259.36,134.05,207.47,46.37,59442.14,5.01,41.97,64.62,72.32
2006,Nagaland,Energy,415.6,20.67,16.25,174.41,398.97,9.4,30.65,62001.85,38.11,60.36,6.92,61.48
2015,Puducherry,Energy,207.04,18.87,7.85,177.22,123.73,92.5,19.33,48093.0,3.16,12.96,16.55,9.93
2023,Tripura,Waste,416.04,36.25,4.86,190.85,183.29,238.68,4.67,63774.45,19.9,114.73,27.04,72.75
2021,Rajasthan,Agriculture,364.61,13.33,11.18,221.54,283.97,95.26,5.1,85277.15,23.02,151.88,24.96,20.03
2020,Jharkhand,Waste,461.22,3.33,5.85,127.59,66.22,5.18,33.95,26194.44,44.51,105.08,89.13,70.55
2021,Chhattisgarh,Transport,169.66,3.24,7.98,142.31,110.22,48.81,15.65,54286.92,28.49,73.46,50.96,78.58
2020,Mizoram,Transport,61.46,1.06,13.89,479.39,292.6,236.09,24.89,14385.16,47.26,39.92,42.89,45.46
2007,Sikkim,Agriculture,220.87,2.38,19.92,154.12,389.88,212.46,37.6,24239.06,12.77,112.0,9.05,76.54
2016,Madhya Pradesh,Transport,395.05,43.0,12.93,315.32,294.46,49.65,9.22,31180.51,14.75,27.49,77.86,41.37
2015,Tamil Nadu,Energy,230.71,35.01,5.6,175.94,345.61,244.4,3.97,71476.88,18.89,108.49,0.46,69.63
2022,Mizoram,Transport,138.37,49.8,1.9,406.37,19.81,40.56,18.89,15550.79,36.76,37.08,84.62,8.99
2009,Himachal Pradesh,Industry,23.53,1.51,7.3,349.49,232.93,248.09,8.21,69934.95,34.33,19.12,18.19,70.46
2009,Telangana,Agriculture,163.38,42.53,0.48,167.47,366.07,211.29,25.57,10271.25,11.08,193.0,49.96,7.52
2001,Kerala,Agriculture,359.56,34.95,9.35,359.73,274.55,228.25,27.68,68288.83,20.78,11.88,35.39,10.84
2008,Maharashtra,Agriculture,82.33,32.2,13.23,379.59,272.2,35.79,5.62,78512.77,18.24,176.46,93.19,76.52
2016,Maharashtra,Industry,177.03,18.15,10.28,73.45,85.2,76.13,39.66,90295.24,38.2,191.57,96.64,78.37
2010,Haryana,Waste,19.91,19.15,17.32,291.18,345.15,175.8,1.26,83170.76,19.03,138.77,81.2,78.07
2009,Tamil Nadu,Energy,363.66,42.36,9.93,404.84,346.69,126.81,17.27,64309.0,38.04,193.11,61.77,51.39
2021,Chhattisgarh,Agriculture,441.53,35.82,9.3,29.92,247.53,73.61,2.44,78976.98,27.87,151.61,51.04,23.68
2024,Odisha,Transport,288.58,33.68,6.26,256.39,173.51,174.16,35.38,72164.18,47.19,35.96,23.51,21.11
2016,West Bengal,Energy,22.68,2.02,16.77,420.72,330.59,195.14,43.94,47855.99,48.91,111.58,59.49,52.77
2003,Maharashtra,Transport,116.64,9.62,18.08,476.62,188.67,72.07,17.47,78900.79,31.85,143.7,66.24,20.0
2015,Himachal Pradesh,Energy,224.85,48.15,19.56,329.71,329.93,22.37,16.48,1528.38,46.06,118.62,93.57,19.42
2019,Puducherry,Energy,297.91,22.99,19.63,167.26,196.54,144.02,34.75,80624.77,36.36,84.2,61.27,53.0
2014,Gujarat,Transport,253.18,39.18,19.61,304.4,234.02,99.73,43.59,92484.67,34.22,66.05,85.45,53.34
2024,Uttarakhand,Transport,458.77,19.77,14.27,18.54,300.47,219.57,44.37,91454.06,23.81,182.04,41.61,74.3
2020,Uttar Pradesh,Energy,469.93,38.33,11.3,230.65,109.67,12.21,29.26,99857.43,28.45,169.53,53.54,71.41
2004,Uttar Pradesh,Agriculture,62.5,6.4,3.53,365.03,102.5,159.84,29.74,28601.84,20.08,171.07,91.69,1.7
2005,Haryana,Transport,77.81,2.59,15.36,22.92,268.8,12.82,31.01,14543.97,9.57,76.64,74.75,75.28
2016,Maharashtra,Industry,185.45,23.58,14.72,303.6,381.8,29.2,25.45,49762.4,46.31,86.19,92.25,59.5
2000,Sikkim,Industry,216.41,29.79,16.86,296.22,181.18,92.81,26.59,34908.49,11.38,195.05,14.02,38.5
2024,West Bengal,Energy,297.17,16.52,9.3,98.89,359.79,57.93,4.82,46269.87,27.55,174.02,20.44,14.67
2018,Maharashtra,Waste,388.85,35.94,17.86,286.77,209.68,41.28,49.13,36923.04,37.12,133.33,29.08,52.27
2003,Karnataka,Energy,76.53,25.04,14.4,207.68,389.7,198.49,3.19,85649.93,41.35,61.84,83.51,11.88
2016,Maharashtra,Energy,403.29,46.45,3.51,242.02,317.86,58.83,24.07,54724.37,18.42,72.83,39.5,15.96
2008,Rajasthan,Agriculture,308.91,4.71,4.22,166.08,344.53,91.8,39.29,79497.26,33.24,141.43,1.8,61.38
2023,Haryana,Agriculture,490.63,3.8,16.3,406.12,273.44,227.06,29.2,30511.54,22.72,8.59,29.53,64.87
2001,Assam,Waste,329.07,45.3,8.57,186.0,348.05,196.6,4.9,40074.77,41.26,184.22,10.69,12.32
2007,West Bengal,Waste,360.88,33.62,5.06,396.45,239.16,131.48,27.82,29351.67,33.2,63.04,75.92,59.68
2014,Delhi,Waste,105.65,33.72,8.51,42.9,229.1,24.38,45.28,97174.42,3.29,63.37,31.71,16.23
2006,Delhi,Waste,386.74,1.86,3.31,142.9,350.12,236.42,31.14,45096.52,30.89,0.23,66.92,43.65
2005,Tamil Nadu,Waste,48.84,46.91,17.85,204.32,10.95,177.57,38.99,41563.75,35.42,132.07,36.72,72.91
2000,Nagaland,Energy,331.7,38.71,1.52,205.27,194.12,9.74,23.18,84145.43,45.52,103.89,93.73,14.86
2014,Assam,Energy,37.23,38.33,7.13,223.44,348.68,237.25,15.67,75951.21,3.48,96.54,25.64,29.62
2022,Madhya Pradesh,Industry,66.46,45.64,11.18,327.93,82.48,18.86,10.09,92114.21,30.25,84.61,57.7,58.56
2006,Kerala,Industry,62.85,29.12,17.49,289.16,383.41,151.15,42.48,75679.73,25.54,59.19,57.13,41.63
2024,Manipur,Transport,35.72,20.04,15.65,262.92,297.54,99.08,35.35,35358.29,32.41,84.66,59.59,14.61
2016,Nagaland,Energy,167.36,24.29,0.55,419.65,306.16,245.24,8.98,30879.65,38.5,0.99,21.91,13.88
2001,Chhattisgarh,Waste,497.23,38.97,16.52,102.1,267.86,230.84,27.63,68772.23,7.58,59.84,32.52,8.57
2008,Gujarat,Transport,180.63,38.55,12.8,430.82,181.75,150.11,35.51,13834.97,27.55,185.13,21.08,36.55
2008,Karnataka,Agriculture,382.78,30.67,2.75,406.66,187.08,175.6,28.44,9793.2,26.51,164.55,2.43,17.46
2012,Uttar Pradesh,Energy,74.84,11.29,12.39,101.87,336.45,205.59,47.48,79650.56,26.24,126.18,64.2,74.79
2005,Uttarakhand,Industry,232.7,41.03,16.38,313.91,59.96,205.26,9.32,63954.51,21.25,165.66,99.59,46.82
2005,Karnataka,Energy,100.71,32.54,12.08,115.52,211.22,150.18,35.75,22667.9,42.63,108.45,69.5,19.6
2019,Uttarakhand,Energy,104.13,11.45,19.98,471.7,127.43,63.66,30.86,67280.44,4.1,19.05,79.65,21.88
2019,Manipur,Energy,58.85,24.29,10.19,249.01,393.8,78.86,45.95,31637.81,19.86,92.25,4.59,42.36
2020,Jharkhand,Energy,221.7,49.86,13.5,105.84,6.46,166.75,43.14,29130.59,30.0,184.76,73.08,22.77
2002,Manipur,Agriculture,47.01,16.75,1.5,319.87,30.15,172.27,32.46,28068.75,45.54,12.97,53.53,19.43
2016,Madhya Pradesh,Industry,455.81,6.27,16.28,355.07,387.12,93.5,21.85,51170.18,31.88,147.3,28.02,35.81
2016,Maharashtra,Energy,229.47,1.57,12.52,304.46,219.8,222.05,8.29,94194.04,7.43,139.97,60.01,43.77
2011,Mizoram,Agriculture,420.9,9.64,11.27,124.64,59.72,100.62,40.16,94894.24,34.37,64.69,71.08,9.67
2015,Madhya Pradesh,Transport,489.94,9.75,14.21,368.93,182.21,174.93,41.24,55092.26,17.64,173.34,93.82,55.24
2014,Jharkhand,Energy,342.11,42.97,11.25,465.13,132.45,53.14,18.17,86984.42,29.77,132.38,20.07,22.32
2012,Tripura,Agriculture,451.74,8.23,15.35,476.31,364.93,88.92,11.39,51017.48,28.98,43.65,68.89,33.15
2022,Andhra Pradesh,Waste,76.33,43.2,11.71,341.34,276.59,136.97,46.59,49714.24,9.45,128.03,57.24,22.75
2000,Andhra Pradesh,Transport,416.7,4.79,10.45,420.92,56.55,10.37,23.5,4779.48,41.12,165.55,59.23,40.34
2016,Puducherry,Industry,142.9,45.38,2.79,489.42,216.9,11.44,36.84,74764.76,27.46,175.44,9.79,79.58
2002,Manipur,Energy,241.57,13.19,9.49,26.47,58.11,68.19,31.12,64086.22,19.93,189.91,44.07,62.6
2014,Meghalaya,Energy,326.83,30.77,10.81,241.11,267.77,207.11,35.01,37347.62,11.09,9.69,62.64,57.95
2003,Kerala,Agriculture,452.74,8.41,12.53,149.25,292.25,54.91,1.03,15550.58,45.89,31.6,20.62,52.84
2003,Uttar Pradesh,Industry,456.39,19.81,9.17,240.02,227.05,221.58,31.35,99047.94,12.86,34.03,23.52,29.78
2017,Telangana,Waste,55.13,4.75,3.02,458.87,386.55,179.3,27.53,81855.16,46.81,47.96,60.05,44.48
2016,Goa,Transport,188.63,29.19,3.09,491.78,378.01,172.54,37.7,63098.82,27.53,136.97,69.53,69.47
2018,Goa,Industry,398.66,17.62,14.45,452.94,86.34,168.86,46.89,2646.01,25.64,83.39,20.31,58.58
2010,Kerala,Energy,354.55,42.68,13.26,102.57,5.13,244.1,41.51,87107.58,24.12,24.12,59.18,74.58
2019,Tripura,Agriculture,22.91,9.5,5.26,402.42,266.79,158.79,22.16,61370.63,44.2,194.95,43.12,69.65
2002,Manipur,Waste,230.45,14.36,8.97,409.74,192.88,162.67,29.82,16642.68,40.89,20.22,16.63,64.96
2007,Bihar,Agriculture,416.33,9.27,6.21,291.79,137.19,113.9,12.0,81597.8,34.14,176.19,10.27,18.16
2013,Telangana,Transport,371.47,28.41,3.7,358.87,367.17,218.2,0.22,60754.14,26.67,67.78,77.85,42.75
2000,Bihar,Industry,211.81,6.03,6.59,453.15,391.51,15.29,7.35,53551.11,33.18,24.66,30.18,56.77
2013,Puducherry,Agriculture,370.23,9.87,5.33,497.11,372.58,86.73,3.7,14855.46,12.92,10.49,13.46,33.19
2001,Arunachal Pradesh,Agriculture,280.09,34.09,1.74,24.83,202.58,72.38,37.52,26217.64,25.35,94.86,64.15,22.27
2022,Uttarakhand,Energy,457.19,4.18,10.14,132.3,282.83,100.09,9.46,69356.73,7.9,82.74,34.49,57.76
2003,Telangana,Agriculture,297.69,37.29,9.07,467.62,72.77,120.5,5.66,35663.8,7.29,97.55,3.91,28.99
2023,Kerala,Waste,206.36,5.66,14.32,167.93,380.59,239.07,14.32,35308.28,35.72,133.63,94.41,28.27
2018,Gujarat,Industry,432.83,29.48,12.44,57.71,117.05,231.2,46.69,18846.41,47.21,54.3,67.29,46.83
2005,Punjab,Transport,34.44,49.89,6.93,160.07,81.13,153.21,13.81,21376.27,40.32,0.31,19.2,22.45
2024,Himachal Pradesh,Agriculture,451.25,9.11,9.98,261.66,28.76,5.95,32.88,67753.78,47.01,107.76,4.99,62.6
2000,Himachal Pradesh,Waste,351.21,13.42,10.77,196.12,222.4,139.35,41.7,92262.42,11.87,10.29,49.32,48.28
2016,Haryana,Transport,470.9,44.97,18.36,395.21,379.64,18.05,41.46,6376.69,13.82,163.49,99.59,56.15
2007,Maharashtra,Waste,132.75,31.5,19.64,307.46,58.56,90.57,47.19,49745.85,21.77,161.68,37.22,41.61
2018,Andhra Pradesh,Agriculture,350.51,24.88,16.33,220.28,52.73,76.82,18.19,95659.74,19.78,24.14,88.0,13.17
2020,Tamil Nadu,Agriculture,406.64,28.35,11.29,498.64,112.68,162.37,24.45,53989.6,15.61,190.53,71.4,5.14
2000,Rajasthan,Industry,354.03,15.13,18.57,443.54,267.83,5.45,11.95,42910.11,15.33,80.53,25.8,42.73
2004,Tamil Nadu,Energy,113.06,42.84,3.64,431.82,221.39,197.39,3.34,29747.01,45.74,111.81,4.49,68.84
2015,Kerala,Waste,145.04,37.39,13.96,285.79,43.0,206.78,48.91,75693.02,9.86,150.07,88.28,11.39
2005,Tripura,Energy,287.7,32.3,9.26,391.06,179.71,9.05,43.35,89628.36,43.85,38.03,80.87,2.84
2007,Arunachal Pradesh,Energy,228.91,46.62,2.98,171.26,31.44,21.37,15.82,98994.74,25.99,2.14,70.72,12.76
2012,Madhya Pradesh,Transport,370.21,29.12,1.6,168.28,341.5,230.25,39.52,31573.89,46.42,147.62,97.85,77.11
2015,Puducherry,Transport,195.55,25.84,9.67,446.57,47.31,154.38,41.5,13595.21,1.87,158.17,94.06,61.33
2002,Uttarakhand,Waste,431.15,48.8,4.86,300.43,191.16,240.13,12.33,72640.13,11.88,131.91,19.4,63.05
2018,Bihar,Energy,221.64,10.7,5.09,175.08,206.63,114.94,46.7,83253.11,25.45,124.39,52.58,73.62
2011,Punjab,Industry,29.62,7.53,6.47,423.43,214.4,48.47,16.09,87415.55,7.93,180.47,20.81,36.4
2015,Nagaland,Energy,18.51,8.53,14.4,224.06,245.62,93.17,28.44,60814.7,11.54,176.66,89.11,58.09
2010,Odisha,Transport,326.9,49.48,3.37,202.99,282.13,232.32,39.9,96072.92,24.24,19.03,4.27,17.89
2009,Meghalaya,Energy,274.87,32.79,14.38,17.95,6.72,29.71,29.55,12097.02,38.62,40.37,70.11,53.19
2024,Uttarakhand,Agriculture,275.94,15.64,15.68,341.11,17.21,223.16,13.05,31488.71,39.48,128.7,67.63,21.27
2019,Maharashtra,Agriculture,397.1,12.82,11.93,268.66,246.56,132.91,46.64,30670.19,31.16,16.18,22.16,64.23
2003,Puducherry,Industry,194.1,3.3,5.03,159.36,76.95,18.44,0.27,40481.49,45.54,109.41,92.24,69.07
2011,Delhi,Waste,497.77,7.03,1.13,73.95,333.58,100.54,26.29,75337.36,31.84,27.92,59.37,51.08
2022,Haryana,Energy,473.31,45.45,8.22,95.3,252.87,61.57,2.33,3003.0,2.17,189.11,90.98,55.62
2001,Kerala,Agriculture,16.35,37.49,16.96,116.31,392.26,144.24,32.77,2718.71,26.38,78.2,46.68,36.57
2023,Himachal Pradesh,Waste,448.91,47.11,2.13,433.28,292.56,38.96,2.22,14588.12,48.41,46.39,80.99,6.87
2021,Goa,Agriculture,343.47,21.47,14.92,242.91,40.83,235.38,2.93,19389.76,33.15,151.15,81.37,44.08
2018,Uttar Pradesh,Waste,256.02,30.26,9.41,349.27,72.54,53.61,24.71,98926.92,34.73,41.11,66.34,60.28
2024,Nagaland,Waste,295.55,24.44,17.99,233.35,23.39,158.6,34.42,26536.0,6.59,171.17,42.74,12.89
2004,Arunachal Pradesh,Agriculture,422.51,44.13,7.19,239.5,297.76,207.98,21.11,46290.12,18.63,165.32,90.38,71.08
2007,Tamil Nadu,Transport,476.01,49.57,14.12,411.96,55.1,149.38,45.71,3870.71,42.47,50.96,83.29,33.89
2006,Haryana,Waste,284.56,46.67,14.83,386.72,267.19,164.24,46.36,93117.87,6.41,66.47,23.13,23.5
2013,Telangana,Energy,98.83,30.1,4.05,119.91,224.38,102.92,22.49,5663.3,42.12,6.75,43.0,58.18
2023,Maharashtra,Agriculture,323.48,3.56,3.25,314.73,255.15,26.36,30.15,90329.83,29.08,59.8,14.16,1.49
2022,Goa,Transport,47.35,31.07,1.95,341.69,205.92,33.7,48.96,20829.38,20.3,32.66,2.67,64.44
2002,Jharkhand,Agriculture,321.22,5.3,14.06,205.38,10.15,175.84,41.11,90982.3,46.58,7.12,7.79,8.75
2017,Haryana,Industry,406.22,7.37,11.01,38.82,105.02,199.51,6.8,33735.97,2.44,190.17,9.91,3.9
2015,Puducherry,Energy,183.13,9.97,1.83,188.85,354.57,210.73,3.65,48202.5,46.41,188.42,34.86,79.73
2022,Mizoram,Industry,44.88,18.49,6.24,182.36,372.06,91.32,28.51,71384.6,44.04,124.91,92.64,5.31
2018,Tripura,Waste,349.19,29.79,2.93,346.86,43.4,242.24,42.15,74573.34,49.36,92.74,58.79,50.64
2018,Delhi,Waste,176.27,17.01,1.94,405.71,381.29,160.76,37.88,4368.97,21.42,93.81,87.98,73.54
2017,Kerala,Industry,132.06,22.89,6.05,201.03,269.86,39.24,31.37,2925.92,23.57,126.53,4.82,55.5
2019,Mizoram,Industry,347.7,2.84,2.02,324.63,369.41,17.77,41.76,32845.32,35.56,49.27,63.33,16.52
2015,Madhya Pradesh,Waste,485.1,31.18,5.28,323.2,163.46,136.68,6.6,51646.78,6.4,137.42,52.13,17.27
2007,Odisha,Transport,375.21,33.02,11.1,325.84,45.19,185.53,23.59,87464.61,12.94,5.34,16.09,43.57
2000,Kerala,Energy,250.76,5.42,11.26,279.38,124.47,5.5,39.49,18914.36,22.66,130.46,21.79,5.82
2016,Meghalaya,Agriculture,304.25,39.36,3.44,316.46,277.42,6.62,8.08,37894.8,36.17,103.72,15.32,44.83
2011,Tripura,Industry,79.72,32.55,3.9,434.51,319.11,145.0,18.73,44104.35,25.33,139.07,23.98,36.41
